,Hotel_Address,Additional_Number_of_Scoring,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Positive_Review,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Reviewer_Score,Tags,days_since_review,lat,lng,geom,city
261673,92 Southampton Row Camden London WC1B 4BH United Kingdom,429,9/18/2016,8.3,DoubleTree by Hilton London West End, United Kingdom , N a,3,1774, Excellent staff,3,1,9.2,"[' Business trip ', ' Group ', ' Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",319 day,51.5201065,-0.1221393,"51.5201065,-0.1221393",London
158643,35 Charles Street Mayfair Westminster Borough London W1J 5EB United Kingdom,252,9/20/2015,9.1,The Chesterfield Mayfair, United Kingdom , Some aspects of the room were looking a little tired and the shower door did not close well without some effort Check in and out took time as the reception was busy and there were not enough staff and terminals available to manage the number of guests and not a peak time ,54,1166, The staff were friendly and helpful at all times,10,4,7.5,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ']",683 day,51.507689899999995,-0.14713579999999998,"51.507689899999995,-0.14713579999999998",City of Westminster
491784,Via Tarchetti 2 Milan City Center 20121 Milan Italy,436,4/21/2017,8.4,NH Milano Touring, United Kingdom , The room was with twin bed,7,4568, I requested 3 room with one double bed each room and at the arrival they were a twin and haven t been changed For all the rest the hotel was superb ,33,1,5.8,"[' Business trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ']",104 day,45.476916700000004,9.196665,"45.476916700000004,9.196665",Milano
88566,2 Caxton Street Westminster Borough London SW1H 0QW United Kingdom,231,3/29/2016,8.9,St Ermin s Hotel Autograph Collection, United Kingdom , nothing,2,857, staff very friendly bed very comfortable hotel spotlessly clean location fantastic ,13,2,10.0,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 2 nights ']",492 day,51.498905,-0.13390929999999998,"51.498905,-0.13390929999999998",City of Westminster
456663,Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,407,7/10/2017,8.2,NH City Centre Amsterdam, Australia , The bathroom is quite spacious but it s not easy to have a shower without water splashing out beyond the glass shower screen ,25,3417, We had a spacious triple room our adult daughter was staying with us The room was simply but attractively furnished and we enjoyed the city views from our 4th floor window We also enjoyed the varied breakfast offerings This hotel is really conveniently located close to canals shops cafes restaurants bars etc and it was easy to access using public transport The members of staff are pleasant and helpful and we were very comfortable here ,77,8,9.2,"[' Leisure trip ', ' Couple ', ' Standard Triple Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",24 days,52.3697554,4.8887815,"52.3697554,4.8887815",Amsterdam
454145,South Quay Marsh Wall Tower Hamlets London E14 9SH United Kingdom,974,8/2/2016,9.0,Hilton London Canary Wharf, United Kingdom ,No Negative,0,3040, Great location good facilities super breakfast,7,3,9.6,"[' Leisure trip ', ' Couple ', ' Double Guest Room ', ' Stayed 2 nights ']",366 day,51.5007324,-0.01655,"51.5007324,-0.01655",London
320996,Euston Road Camden London NW1 2AR United Kingdom,522,9/5/2016,8.8,St Pancras Renaissance Hotel London, Hong Kong , If the room rates can be a bit lower great hotel with good l,15,2058, Reception is helpful convenience location spacious room ,9,6,9.6,"[' Leisure trip ', ' Family with young children ', ' Superior Twin Room Barlow Wing ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",332 day,51.526776899999994,-0.1324905,"51.526776899999994,-0.1324905",London
312364,Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,947,9/16/2016,8.7,Best Western Premier Hotel Couture, United States of America , Price of breakfast ,5,8177, Close to tram ,5,4,10.0,"[' Leisure trip ', ' Group ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",321 day,52.351113700000006,4.8411629000000005,"52.351113700000006,4.8411629000000005",Amsterdam
265666,Albany Street London NW1 3UP United Kingdom,354,2/14/2017,8.3,Melia White House Hotel, United Kingdom , Saturday night live band They weren t very good ,11,1871, Classy Dry Martini Bar Amazing cocktails and very friendly bar staff ,13,2,10.0,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",170 day,51.5298597,-0.1444623,"51.5298597,-0.1444623",London
123318,26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom,328,12/29/2016,7.5,Mayflower Hotel Apartments, Malaysia , Small room for 2 persons not even have space for luggages ,13,2197, Location to tube,4,3,4.6,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 8 nights ', ' Submitted from a mobile device ']",217 day,51.4916677,-0.1947475,"51.4916677,-0.1947475",London
303786,Corso di Porta Romana 64 Milan City Center 20122 Milan Italy,191,1/3/2017,7.8,Hotel Romana Residence, Australia , The room has no coffee and tea facilities The staff at the restaurant are not hepful it would be good if they could speak english and not be rude ,31,2241, N A,3,5,7.5,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 5 nights ', ' Submitted from a mobile device ']",212 day,45.4572218,9.1937008,"45.4572218,9.1937008",Milano
86151,2 8 Great Suffolk Street Southwark London SE1 0UG United Kingdom,570,6/28/2016,9.3,Hilton London Bankside, Ireland , No view at all from the huge window but the rest was lovely ,15,2319, The staff were extremely helpful and an absolute delight generally ,12,1,10.0,"[' Business trip ', ' Solo traveler ', ' King Guest Room ', ' Stayed 2 nights ']",401 day,51.5056956,-0.101525,"51.5056956,-0.101525",London
